0=29.5,-99.2,23.0,-90.3,55.2,16.6,4.5,97.9,-86.2,-94.8,###############
1=89.9,-88.5,37.7,80.4,-97.5,-89.3,21.0,74.6,-17.6,-46.9,#############
2=-22.2,-67.2,-52.5,5.3,74.3,93.7,55.3,5.4,31.7,76.0,#################
3=55.6,82.7,-20.4,-55.2,99.0,-78.2,58.3,10.4,-47.9,77.1,##############
4=-41.7,33.7,-66.5,-35.0,2.2,78.9,-53.2,-74.8,24.2,51.3,##############
5=42.6,-95.8,-7.7,-50.4,-41.9,-60.0,-25.4,-17.4,-46.4,16.2,###########
6=86.0,3.7,51.1,-38.1,-46.7,-79.1,-15.7,-46.7,-96.5,-63.7,############
7=57.4,-40.3,-46.0,40.6,-87.9,-32.2,-13.0,11.6,-80.6,85.4,############
8=68.8,82.5,25.8,79.8,30.8,40.1,-82.0,-31.2,-71.6,38.3,###############
9=19.7,-92.3,-62.9,60.8,-37.0,-68.9,7.7,-56.2,-50.0,34.8,#############
10=-28.3,-11.7,-72.4,-23.3,-77.4,-23.3,-52.1,34.0,99.3,53.2,##########
11=94.5,-20.9,60.0,33.9,62.3,26.0,1.5,-50.2,-76.5,83.4,###############
12=43.3,28.6,28.8,69.0,-69.3,-66.7,81.3,-3.2,89.4,25.1,###############
13=-96.6,-42.5,-46.2,57.9,-55.9,52.8,60.2,8.2,94.2,55.1,##############
14=35.1,79.1,92.4,-99.2,-36.0,-49.6,29.8,86.2,39.6,48.1,##############
15=-63.5,31.3,57.2,26.9,-48.4,69.0,-21.4,-20.9,24.9,-90.6,############
16=-7.6,66.6,-11.2,-41.6,17.1,-98.8,-84.7,-20.5,-6.5,21.5,############
17=72.4,20.5,97.2,-53.1,-22.7,-99.2,-95.8,30.5,-67.2,41.2,############
18=-38.0,30.9,-38.6,-55.6,-22.8,14.1,0.2,23.7,53.4,-92.1,#############
19=-92.7,6.2,-96.7,-42.0,-70.9,31.2,29.5,75.0,-14.0,27.8,#############
20=-74.9,9.1,-61.7,-66.3,95.6,-33.5,44.8,69.9,2.3,95.5,###############
21=77.0,-15.7,-33.3,72.5,36.6,67.5,3.4,27.7,-62.9,14.0,###############
22=36.8,-94.8,-81.1,-97.4,73.2,20.4,30.9,19.0,3.4,77.1,###############
23=7.4,53.1,21.3,67.0,-98.4,-52.1,24.1,57.9,13.9,-35.2,###############
24=-43.2,-59.5,-15.9,-70.6,66.5,-88.9,-12.8,61.6,-89.8,-77.8,#########
25=-32.3,-36.0,77.6,-8.7,41.7,79.2,-55.8,-41.7,-94.6,22.3,############
26=-28.5,33.4,-76.5,31.1,22.0,29.8,-33.5,-75.1,10.9,48.7,#############
27=-79.0,91.5,-93.0,31.4,22.3,48.4,32.8,26.0,-5.1,70.6,###############
28=-16.7,51.2,80.5,25.6,80.4,35.4,99.4,-79.8,44.3,-30.3,##############
29=7.1,84.2,-92.9,92.9,32.0,64.4,65.7,-14.3,94.8,70.0,################
30=51.2,-16.0,-0.5,52.4,91.4,-89.9,94.3,-74.9,70.6,-81.5,#############
31=-56.2,89.7,-14.8,-28.2,49.4,23.3,-61.5,45.5,90.2,-41.3,############
32=92.7,-56.6,-18.6,-89.3,-21.9,-92.3,-22.1,-42.1,89.9,-96.8,#########
33=54.9,3.4,-58.2,-70.3,79.3,35.8,-29.5,-31.8,24.8,-11.8,#############
34=-63.1,36.9,49.4,99.6,-90.8,-83.6,62.2,81.0,-56.0,-50.8,############
35=97.9,22.5,-93.8,15.5,39.4,-76.8,-99.3,12.5,65.7,56.2,##############
36=61.1,-73.5,39.0,71.2,-9.0,-99.5,-4.1,5.2,-3.0,-70.1,###############
37=43.7,-4.6,-58.3,14.3,33.3,94.8,-63.2,-41.5,57.0,-19.7,#############
38=86.1,55.0,-79.0,-31.2,-56.0,-50.4,-14.1,41.9,82.8,-79.2,###########
39=77.3,16.1,-81.1,23.3,-6.5,-61.0,82.1,8.3,65.7,-82.0,###############
40=26.8,78.7,-88.8,83.2,94.7,27.5,64.5,43.8,-32.6,-23.6,##############
41=-92.3,53.8,38.9,-33.8,-65.1,88.3,79.4,-96.0,95.5,7.1,##############
42=-68.0,22.8,84.0,27.3,-13.2,63.7,95.4,62.9,10.1,-82.5,##############
43=42.1,19.4,28.7,98.5,-93.0,-83.1,13.5,-14.7,2.0,22.4,###############
44=-48.9,45.7,-61.4,-41.0,-42.5,-80.2,89.3,-64.1,42.9,-96.1,##########
45=26.4,2.7,-59.3,-17.9,-94.3,42.5,83.2,-14.4,72.0,-69.2,#############
46=-11.7,-83.9,40.5,14.0,-46.0,-37.8,-54.1,-59.2,28.6,46.9,###########
47=91.3,-66.7,1.3,19.6,20.8,68.2,-72.1,93.3,91.3,55.6,################
48=-77.0,-51.7,-42.1,-14.4,68.7,-72.6,61.9,-68.2,70.5,87.0,###########
49=-31.9,9.0,67.7,30.8,-81.3,-74.2,-45.4,75.9,-46.9,36.3,#############
50=89.4,-95.0,13.0,82.4,-33.2,-56.0,82.3,-19.0,-52.4,-29.4,###########
51=79.4,-50.9,81.7,82.3,86.5,78.0,-16.4,11.2,26.9,-34.0,##############
52=56.7,66.9,-35.2,-79.3,61.3,6.8,-14.6,-41.2,84.2,98.4,##############
53=-40.8,-30.8,1.8,-0.3,-3.4,12.4,-15.2,-44.7,-12.4,42.8,#############
54=-93.1,-43.6,-2.5,89.4,-32.2,-42.0,-66.8,49.4,32.2,-61.1,###########
55=-32.9,70.2,89.0,-51.9,-44.9,47.6,-77.8,77.2,-47.2,-23.1,###########
56=-43.6,69.1,-94.0,88.9,-61.8,-4.0,90.3,58.2,-75.4,-4.8,#############
57=18.5,1.8,38.2,63.2,-29.1,-32.0,-21.4,68.7,22.8,-22.2,##############
58=37.9,84.4,-10.9,-14.2,21.2,-28.3,-51.0,-56.7,-57.3,-90.5,##########
59=-26.3,30.9,-12.9,98.7,-59.0,-24.9,-71.1,76.2,-80.0,63.9,###########
60=-10.8,37.4,71.0,-39.6,-76.7,41.5,-86.0,-63.3,72.2,-84.1,###########
61=80.0,70.3,96.9,51.8,66.6,77.6,-88.2,26.1,-42.8,60.8,###############
62=11.6,85.4,-24.2,-54.2,69.5,-44.0,55.5,-31.0,-13.5,35.5,############
63=80.3,-84.4,-51.5,55.5,63.4,38.4,98.8,47.4,0.4,-27.7,###############
64=-52.8,60.6,48.7,43.7,78.3,-11.4,64.9,-84.9,-1.0,-80.5,#############
65=73.9,-60.4,-6.6,99.6,46.7,77.2,76.0,-1.5,93.7,95.7,################
66=-45.9,-43.8,-0.3,0.8,82.3,-8.2,61.4,47.3,73.2,1.6,#################
67=82.9,-17.2,-9.5,-65.6,-73.7,96.5,17.7,53.4,-59.5,42.4,#############
68=62.3,69.0,52.6,-72.9,98.2,-40.4,65.4,37.0,-38.7,-86.0,#############
69=-69.5,57.1,47.6,-8.7,-93.4,23.6,54.7,-25.4,-13.2,-75.3,############
70=1.7,80.6,29.9,-43.9,-45.4,-89.4,-88.8,92.8,98.2,59.6,##############
71=-47.5,-86.7,-44.3,-77.6,-89.4,1.1,-72.2,97.3,39.7,-3.7,############
72=-70.5,1.7,28.3,37.7,85.1,-28.0,56.4,-0.9,-19.0,94.9,###############
73=48.9,19.9,-81.0,11.5,-91.4,-34.2,-45.6,57.3,0.9,-90.2,#############
74=-73.8,23.7,89.7,81.8,-54.0,-15.6,45.0,-77.1,42.9,-47.0,############
75=77.8,56.3,-89.0,55.9,-33.2,-68.7,-12.6,-20.4,71.6,41.0,############
76=-56.3,-43.0,-61.1,25.7,-48.4,33.3,4.3,-73.6,-13.6,81.2,############
77=-32.3,90.6,-50.8,-26.6,-62.8,-86.5,13.5,-59.4,-90.4,-42.2,#########
78=-56.2,96.4,-63.5,86.9,57.4,-61.4,-81.5,87.5,85.4,66.9,#############
79=3.8,-9.3,-7.0,-18.0,0.2,-54.2,71.0,-43.6,-67.8,52.6,###############
80=-22.0,38.6,77.1,-44.4,-2.1,87.5,89.3,39.3,24.5,-7.0,###############
81=40.0,60.3,-65.7,24.1,-48.7,41.8,40.7,-92.9,-18.5,-83.9,############
82=13.3,-48.8,-81.1,99.7,-78.5,-66.2,-55.7,-73.2,-33.5,-40.2,#########
83=54.4,71.8,77.7,-19.4,-75.3,-59.7,3.9,42.1,-55.2,53.7,##############
84=40.5,27.0,-66.4,-79.8,-19.4,32.6,-96.6,56.8,-14.4,-50.2,###########
85=-26.5,-52.6,66.0,-64.9,-48.7,19.2,69.6,33.4,33.7,37.6,#############
