0=52.5,-2.7,-0.7,23.1,27.9,20.3,-63.6,54.6,60.5,-47.0,################
1=13.8,-45.0,-86.0,55.9,9.4,61.0,40.1,-60.6,46.3,-15.6,###############
2=-26.8,59.0,71.9,25.0,-0.4,-9.9,-59.2,-90.5,25.8,5.6,################
3=41.7,-51.1,29.2,-65.2,76.4,72.3,-75.1,16.5,-77.4,-51.0,#############
4=-59.2,-99.9,-93.1,91.8,-85.8,96.0,95.0,53.5,33.1,5.0,###############
5=56.2,-94.3,98.0,70.9,97.3,7.0,73.6,75.8,84.7,17.4,##################
6=27.8,-34.2,-61.9,71.7,24.7,56.1,-3.5,40.7,1.1,91.8,#################
7=72.9,53.9,4.2,-59.6,30.9,31.9,57.4,-61.2,77.0,28.3,#################
8=75.1,68.7,32.5,-56.4,44.6,20.7,-45.8,-46.0,48.9,-0.2,###############
9=-77.5,-89.1,16.5,57.3,85.6,-32.8,37.0,69.6,14.3,8.8,################
10=-84.0,75.6,-82.4,7.2,-85.5,21.4,3.8,-89.8,-12.4,-39.6,#############
11=18.5,86.3,41.4,-24.9,81.5,6.6,46.5,-22.4,-52.6,-89.2,##############
12=89.8,5.5,30.7,-91.0,14.7,43.7,-5.7,47.3,-96.0,78.1,################
13=69.6,19.0,-46.2,92.1,10.0,44.9,17.7,-46.2,-12.5,-40.1,#############
14=0.3,57.9,-28.1,62.2,-42.0,-66.5,-14.8,-97.6,-50.0,6.4,#############
15=94.2,-6.8,-35.7,87.1,41.2,-4.3,27.0,-96.1,-74.1,-83.2,#############
16=25.6,-78.1,-93.7,-33.4,5.4,25.5,-68.7,-75.8,-78.9,-6.0,############
17=-71.8,83.2,-49.7,82.4,94.6,-73.9,79.9,47.5,5.1,33.5,###############
18=-90.0,-39.4,16.9,77.6,43.1,33.6,-23.5,-51.9,-97.1,-59.0,###########
19=-84.3,-6.7,74.7,-68.0,-51.3,25.6,-10.4,41.1,64.7,-28.8,############
20=-86.8,-96.1,-6.7,5.3,82.5,-80.8,14.1,16.9,-76.7,78.4,##############
21=-29.9,32.8,73.8,-29.7,-9.0,-65.6,-60.2,-67.3,-91.7,-6.9,###########
22=53.5,16.9,-46.3,-60.6,-0.3,-52.3,52.7,62.6,73.3,97.7,##############
23=-65.1,56.5,-20.4,58.8,-77.7,82.7,52.4,49.9,31.3,18.5,##############
24=-78.4,60.9,-3.8,-56.1,-70.6,-45.7,58.5,11.5,89.9,-3.6,#############
25=32.4,-99.3,73.2,21.7,60.8,-58.1,29.0,97.1,-6.0,-13.4,##############
26=32.9,-51.4,44.4,10.7,-99.7,-30.6,-59.9,3.8,98.2,91.8,##############
27=62.0,-28.1,-25.7,-76.2,-21.6,-8.7,-80.7,88.1,28.0,-61.7,###########
28=82.3,-1.0,45.0,72.7,-10.7,95.3,-63.8,79.3,72.9,64.8,###############
29=14.0,-42.7,-60.2,-26.4,87.0,77.5,58.3,97.5,-17.6,-54.7,############
30=-9.2,-64.2,3.0,95.7,-65.3,-54.2,39.6,27.1,-32.6,50.6,##############
31=17.9,-54.1,-81.3,-82.3,78.3,90.2,8.4,33.9,-99.4,59.4,##############
32=67.6,75.8,42.8,74.3,-97.6,-59.3,80.5,-69.7,-46.1,-43.3,############
33=-68.0,25.2,8.1,-87.8,63.5,-68.4,-26.4,68.2,80.4,80.4,##############
34=-38.0,80.5,-12.2,20.5,94.9,-62.9,-46.9,-75.4,73.4,-49.5,###########
35=10.4,81.2,37.5,18.2,76.2,-28.8,11.1,-87.1,-75.9,-34.4,#############
36=60.1,-14.5,56.2,-89.1,-96.7,-59.2,-91.7,30.0,15.7,-4.4,############
37=85.0,56.5,45.6,-82.2,-3.1,-12.4,19.6,-85.9,32.5,-65.9,#############
38=-43.2,27.1,7.4,12.5,-87.3,-23.6,-29.6,-4.0,-14.6,41.6,#############
39=0.3,-63.5,-47.7,53.4,-71.3,61.3,47.6,65.9,69.1,6.9,################
40=76.7,60.8,-40.4,66.8,-60.6,52.2,-22.4,27.2,-6.7,-10.2,#############
41=-30.3,95.7,47.2,-85.2,45.4,10.1,-84.9,14.9,8.5,26.7,###############
42=97.7,19.2,56.2,-35.9,54.3,-26.0,61.6,-35.6,-23.7,-79.3,############
43=86.6,-6.3,32.5,45.5,23.6,52.8,-23.8,-42.8,-49.1,-81.3,#############
44=-27.3,35.3,-70.2,-82.9,-99.7,-87.6,59.9,20.1,-96.5,91.4,###########
45=25.6,44.6,-23.5,87.3,71.5,-92.4,-78.4,12.2,16.3,90.3,##############
46=76.5,59.5,-56.6,-6.0,-74.2,70.0,-59.1,93.1,-74.3,-86.6,############
47=-76.7,-93.3,85.5,24.6,-73.2,89.1,15.1,71.0,50.1,20.9,##############
48=-51.8,84.1,-27.7,91.6,-85.1,-42.9,-75.0,36.3,-17.1,86.8,###########
49=-79.9,55.9,95.8,93.5,94.1,41.3,-85.6,53.4,46.9,22.4,###############
50=50.7,-76.0,11.1,-42.5,-53.0,99.0,-36.9,11.3,12.9,44.2,#############
51=-51.0,68.6,-6.5,49.0,16.1,99.7,13.9,0.8,19.6,-73.9,################
52=23.9,-82.6,-87.2,-60.7,-97.0,71.9,-53.7,38.5,-80.3,79.9,###########
53=41.0,6.6,48.4,67.4,-39.8,-8.5,60.9,-79.3,-98.7,-32.9,##############
54=-37.0,-31.5,40.2,77.9,-22.9,16.1,-60.4,-5.9,-17.5,86.0,############
55=60.5,-16.6,-50.4,-39.6,31.0,-88.8,-91.9,33.0,11.3,-79.6,###########
56=-17.3,88.1,11.3,-59.0,-98.7,56.3,-15.0,33.6,-5.2,35.2,#############
57=-9.1,-21.4,80.1,70.2,-9.4,76.3,88.9,-9.7,23.8,-61.8,###############
58=10.8,6.2,-33.1,-81.4,-6.9,33.0,24.7,56.0,17.4,33.1,################
59=80.6,57.5,20.8,16.1,-73.7,8.2,44.2,18.4,66.6,-93.4,################
60=26.0,-63.1,-5.0,-70.0,-88.0,-14.8,64.4,67.8,-1.3,43.9,#############
61=95.0,18.0,-99.3,-45.8,-22.6,41.0,-79.0,-84.5,-0.5,-79.9,###########
62=-29.8,-55.8,0.0,61.3,3.7,-91.2,-32.7,-9.6,33.1,26.3,###############
63=-90.0,-64.5,57.5,-43.6,-28.5,78.6,77.6,64.8,21.4,99.6,#############
64=-87.2,-67.5,-91.2,-43.0,42.1,10.6,75.9,-10.1,-10.4,67.0,###########
65=-93.6,-47.6,-40.1,14.4,-46.7,-97.8,58.4,30.4,-8.0,50.3,############
66=-52.1,59.0,30.3,5.0,1.0,-39.0,-18.0,1.0,2.8,25.3,##################
67=-43.5,30.1,-82.3,28.4,97.9,-78.3,-35.5,49.6,47.1,83.9,#############
68=6.5,-89.2,-44.6,52.0,-36.2,-7.2,51.0,-63.5,-0.5,-10.9,#############
69=-35.0,93.2,97.6,52.3,15.1,82.1,73.0,-11.7,80.1,11.7,###############
70=-17.3,17.2,-93.1,-31.4,-53.7,35.6,40.8,24.8,-59.3,34.0,############
71=-78.3,51.9,-47.3,-62.8,35.1,34.1,-7.8,-79.9,-68.8,99.9,############
72=98.8,19.4,-9.3,97.4,61.1,44.1,-19.2,12.9,-50.0,28.5,###############
73=23.4,-2.4,-27.0,66.2,-97.5,60.7,-21.3,20.7,97.5,-91.0,#############
74=-16.4,-27.4,25.5,-63.4,2.7,-71.4,46.5,-66.0,55.7,3.1,##############
75=84.5,-92.4,-59.9,54.7,46.3,-77.9,54.4,-19.6,-13.0,-48.1,###########
76=-43.4,-38.0,-48.0,-65.3,30.1,-59.6,-10.6,-76.8,-63.3,-86.0,########
77=52.3,74.9,68.1,-43.9,3.0,26.5,-65.3,-71.5,-76.3,54.3,##############
78=29.2,-23.7,5.0,51.6,13.0,90.6,72.5,-66.6,-16.0,27.9,###############
79=-21.0,-33.1,-28.0,49.5,41.2,52.9,69.5,-18.0,66.8,76.7,#############
80=43.1,34.2,-91.6,-27.1,-52.2,-88.6,41.4,-5.8,42.3,-72.9,############
81=-56.3,-31.1,-41.7,-16.4,80.9,-56.1,-11.1,-60.3,45.5,-4.6,##########
82=-76.8,-55.9,39.8,44.9,-29.7,-40.4,23.5,-32.8,-42.0,-0.3,###########
83=41.0,81.2,4.6,33.2,55.4,-80.5,-21.0,64.8,-78.6,-22.1,##############
84=-6.9,42.5,87.0,-74.6,56.9,71.9,36.0,29.6,37.3,-95.5,###############
85=-13.3,-10.4,7.3,23.8,67.7,39.5,53.3,98.5,-45.1,28.6,###############
86=-10.6,-23.3,4.3,-83.3,60.3,53.6,-55.3,84.4,-73.8,89.8,#############
87=46.1,-38.5,-33.4,-22.4,-87.4,-76.8,-5.6,-99.6,88.9,3.7,############
88=83.2,-49.6,-61.9,52.8,-67.0,77.5,-26.3,-46.0,71.9,1.3,#############
89=-29.5,-96.0,-95.7,59.5,-85.6,64.4,86.4,-14.3,-7.9,67.5,############
90=92.8,-83.1,7.6,30.8,-96.0,-1.0,34.3,1.2,-17.0,-79.2,###############
91=67.5,-19.1,1.5,81.9,49.3,29.5,69.7,-82.1,60.7,9.1,#################
92=-23.9,-28.0,1.0,77.6,76.8,87.7,59.3,-82.4,48.4,62.4,###############
93=27.5,12.5,-23.4,21.7,95.9,78.4,-75.9,3.2,-49.7,56.6,###############
94=57.8,-70.1,52.9,43.9,48.1,59.8,1.0,38.7,81.7,73.7,#################
95=55.7,4.6,0.8,97.2,9.3,83.1,-30.3,-25.0,96.8,92.8,##################
96=75.7,20.3,-27.8,-47.6,73.8,19.9,62.1,44.0,86.6,97.4,###############
97=42.1,-35.3,62.3,61.8,-30.8,-93.7,51.4,-42.8,-87.5,-62.5,###########
98=66.3,46.2,1.3,-50.9,-10.9,-67.0,-1.4,34.7,-2.4,-77.0,##############
99=-34.2,39.1,-44.3,2.0,-89.1,31.9,-9.1,-31.7,-8.4,27.0,##############
100=45.5,-15.6,56.2,79.7,72.7,-82.9,-69.9,60.0,46.2,96.5,#############
101=95.0,-82.0,-57.8,-61.4,-2.5,-42.1,-80.5,38.7,53.5,64.6,###########
102=-40.6,0.1,-37.4,-7.6,-73.4,-87.0,13.7,80.0,-75.0,16.9,############
